Town,MINORPCT,LOWINCPCT,LINGISOPCT
GEORGETOWN,0.057258440809709044,0.08753444727384471,0.0027940542542399254
GILL,0.06059421454104769,0.2548928280492572,0.0011091516966379984
GLOUCESTER,0.11095627280019586,0.2181795258659184,0.01604561046408798
GOSNOLD,0.0,0.10526315799999998,0.0
GRAFTON,0.2662781112369598,0.13744229792894147,0.017309658133874955
GRANBY,0.052373158872340425,0.13586164929165304,0.0
GREENFIELD,0.13902860734509587,0.31523934752962907,0.02782064506193021
GROTON,0.10251197911078845,0.07722384171119502,0.02547953787991869
GROVELAND,0.05950437740762724,0.06425285659370826,0.0
HADLEY,0.12983469738356604,0.20989992329417428,0.002073283769218424
HALIFAX,0.05829132750743182,0.09448106493369524,0.0
HAMILTON,0.057964535843093426,0.0961108627097303,0.0
HAMPDEN,0.09897816057383291,0.09230780703486274,0.0
HANCOCK,0.116154873,0.150867824,0.0
HANOVER,0.047748564601087944,0.09664054018139923,0.014039894782260502
HANSON,0.10055655128582211,0.07464877872898783,0.0
HARDWICK,0.08330261740840399,0.2510933140770365,0.0
HARWICH,0.06144496965766373,0.17684588079038188,0.0037025601676044712
HATFIELD,0.11432880819788838,0.12096530884253394,0.0177586806678733
HAVERHILL,0.33892752288494826,0.26832986140740234,0.031097363627661877
HAWLEY,0.105202312,0.293163384,0.0
HEATH,0.08185654,0.188615123,0.0
HINGHAM,0.0587004676970219,0.07377815666588729,0.010553417110817129
HINSDALE,0.0525187566323687,0.27813504861093247,0.0
HOLBROOK,0.28076516217577574,0.14052797294684416,0.027253039686177715
HOLDEN,0.12223409128857012,0.09223585323170048,0.0022553063308917037
HOLLAND,0.07796217717985333,0.1960632962030104,0.008953808959475106
HOLLISTON,0.11858519976899633,0.08223008523128722,0.02206235530011341
HOLYOKE,0.5803794179719595,0.4753228200016372,0.16527237713716217
HOPEDALE,0.05139720567265469,0.10665144306636726,0.008080379453093811
HOPKINTON,0.2604111753173432,0.08975997195044808,0.02036621530100158
HUBBARDSTON,0.1147994465242047,0.12024460569824805,0.005141264450899032
HUDSON,0.17251446184635347,0.13996864357484995,0.06200026408120236
HULL,0.05697823305416134,0.11624743884635083,0.011259348449295775
HUNTINGTON,0.06213151891020409,0.2884353742557823,0.0
IPSWICH,0.0985841637399056,0.1384709965808425,0.0
KINGSTON,0.0644734909956675,0.09250448189484507,0.0027818627980613895
LAKEVILLE,0.06527184303875055,0.11155759809201417,0.005156035123618684
LANCASTER,0.182486948532748,0.10603472061165164,0.028147297120313244
LANESBOROUGH,0.011501807369043706,0.19947420319848833,0.0
LAWRENCE,0.8686037358248168,0.47242350072648437,0.26856563273413014
LEE,0.09145919788813969,0.16915318051434994,0.013160244578492393
LEICESTER,0.12079082816349192,0.15334006301254852,0.0
LENOX,0.08567498528571428,0.16543778783297308,0.0
LEOMINSTER,0.28689438342729745,0.22013719790007147,0.03729849847371731
LEVERETT,0.080824972,0.25950783,0.0
LEXINGTON,0.38545644956107544,0.05593369737141185,0.03436831986987188
LEYDEN,0.041593439,0.168717048,0.0
LITTLETON,0.11368379194812679,0.11238594848464672,0.005021096240087448
LONGMEADOW,0.149228478813752,0.06158640789131023,0.014089268022739576
LOWELL,0.5215631929184774,0.34673498957553583,0.10495939595890612
LUDLOW,0.14945368162707837,0.18486560856023754,0.08232598898342042
LUNENBURG,0.12496774744611679,0.14963687161641007,0.011400869255181904
LYNN,0.6164372345500128,0.3361081896138887,0.1618207108917046
LYNNFIELD,0.11752369098539692,0.09996892965473048,0.014476691854901351
MALDEN,0.5607041684087414,0.3203794253595913,0.19293470458124237
MANCHESTER,0.08602749901337792,0.055927164839836487,0.006658033815681902
MANSFIELD,0.1575498195141991,0.1225092426017119,0.007381747837992064
MARBLEHEAD,0.0847117522847226,0.10054775203579369,0.010947437194533328
MARION,0.19273484495441925,0.1300490323111985,0.0
MARLBOROUGH,0.3434155765964254,0.2327239113289238,0.08294701108724732
MARSHFIELD,0.018248968016800638,0.11780230618104134,0.0
MASHPEE,0.16910091729115598,0.20482619646047706,0.003219196753321101
MATTAPOISETT,0.10315430530349531,0.07651321397314578,0.0
MAYNARD,0.16314707540599885,0.10887306593552609,0.01921898282395814
MEDFIELD,0.07459882597111546,0.07473460471279844,0.0024730847239138945
MEDFORD,0.314138058340499,0.18302933148776407,0.044471422716435415
MEDWAY,0.13788300835475528,0.14814725226561878,0.0
MELROSE,0.19571899627843292,0.11250104445269098,0.02034349730302353
MENDON,0.0477726263321911,0.08842705196109656,0.0
MERRIMAC,0.0843955194165701,0.16409040223928156,0.0
METHUEN,0.43357281788228874,0.2281167114461557,0.06025114840771245
MIDDLEBOROUGH,0.11102319074490231,0.12728577760545376,0.008751111266540873
MIDDLEFIELD,0.051079137,0.156905278,0.0
MILFORD,0.36442963678986195,0.2842732354320165,0.11838571743503093
MILLBURY,0.12005496501504302,0.1295649625056773,0.042046843307224996
MILLVILLE,0.04074542041850916,0.17826504561844597,0.014221929036323437
MILTON,0.2918220847243648,0.12308948151428672,0.011477568726863256
MONSON,0.054567600544579785,0.1970411388948843,0.002310217605359318
MONTAGUE,0.10537913171872976,0.23093737127064165,0.010563306583408944
MONTEREY,0.022698613,0.132408575,0.021680217
MOUNT WASHINGTON,0.103448276,0.211058264,0.0
NAHANT,0.06215875692776144,0.1516169674090718,0.02383182411171776
NANTUCKET,0.1377938519699819,0.20008314333616634,0.0
NATICK,0.20839485335435562,0.10387283348211648,0.05442506030433603
NEEDHAM,0.16300902712004012,0.05865493245251755,0.02563644618202608
NEW ASHFORD,0.049327354,0.179372197,0.0
NEW BEDFORD,0.42051853165363917,0.4032812922509393,0.1241828812766994
NEW BRAINTREE,0.033269962,0.199237369,0.0
NEW MARLBOROUGH,0.10743801645708836,0.26016819580737444,0.00457222212778131
NEW SALEM,0.212686567,0.211753731,0.0
NEWBURY,0.06404744248687917,0.09743747971401036,0.0
NEWBURYPORT,0.07362417591052514,0.1278423820202948,0.006689511606992075
NEWTON,0.2785397817100156,0.13143456007082682,0.032872348204917315
NORFOLK,0.19589141589077402,0.02768007445176082,0.0
NORTH ADAMS,0.15187346427257367,0.3473860239989251,0.0023512580408476657
NORTH ANDOVER,0.19869524064269933,0.14422046654410578,0.038471136833818524
NORTH ATTLEBOROUGH,0.22348232161922763,0.18269924548424876,0.0257329971814543
NORTH BROOKFIELD,0.05134618218993674,0.15300508668427248,0.0017972000823892893
NORTHAMPTON,0.17817608687563227,0.25783188061802653,0.02239376402092955
NORTHBOROUGH,0.21775072107997434,0.10449106469875041,0.019555328477539248
NORTHBRIDGE,0.16944688319622475,0.14069767914881476,0.006556882509145448
NORTHFIELD,0.10244912071714384,0.1961183159272163,0.0
NORTON,0.11401141677389726,0.1297705992256876,0.0026478666281785157
NORWELL,0.08764326293315998,0.05874165804112491,0.0017231909731291533
NORWOOD,0.2812270726579696,0.12884139818108034,0.09226579579172779
OAK BLUFFS,0.16616199835862983,0.22364689673864496,0.049340860602952306
OAKHAM,0.05552128299999999,0.115360888,0.0
ORANGE,0.07583311466452373,0.3502216638585673,0.005935631042770927
ORLEANS,0.027405990992033145,0.20886684447848947,0.0
OTIS,0.036986301345205475,0.13768197673150684,0.0
OXFORD,0.09723214305758927,0.11953057968294643,0.03019576794169643
PALMER,0.17291298054165996,0.26216500295632944,0.0060930528733311885
PAXTON,0.14605394592467533,0.05067640432047952,0.0
PEABODY,0.20049721349991803,0.1725015528308928,0.049766846788247186
PEMBROKE,0.05106661576610836,0.08764630765802826,0.0029433224337388837
PEPPERELL,0.11918430310050553,0.12683826871399193,0.005662731115157227
PERU,0.049731183,0.102564103,0.0
PITTSFIELD,0.1930280245735703,0.2963666967047163,0.01051368202998405
PLAINFIELD,0.10798816600000001,0.298219585,0.0
PLYMOUTH,0.09067390219689131,0.15319340418138985,0.016662963304749284
PLYMPTON,0.039195637,0.157733015,0.0
PRINCETON,0.08966304953169618,0.07652769872415761,0.0
PROVINCETOWN,0.14600781690089334,0.27299113695170296,0.039933382671133444
QUINCY,0.4156199033084638,0.24482712232267015,0.11535266242254427
RANDOLPH,0.7342540728462822,0.23676957330700815,0.06119182302005388
RAYNHAM,0.08595615365205123,0.13199308108704144,0.020994592960277836
READING,0.13032397413952485,0.07848311498764579,0.003880759436112311
