Id,StreetName,Town,FacilityType,FacilityName,Program,ProgramSpecificId,Active
5895,16 WEST MYRTLE ST,ORANGE,PUBLIC WATER SUPPLY SYSTEM,ORANGE WATER DEPT,WATER SUPPLY/DRINKING WATER,1223000,True
5896,10 WALNUT ST,PALMER,PUBLIC WATER SUPPLY SYSTEM,PALMER WATER DISTRICT NO.1,WATER SUPPLY/DRINKING WATER,1227000,True
5897,CHURCH ST,PALMER,PUBLIC WATER SUPPLY SYSTEM,THORNDIKE FIRE AND WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1227001,True
5898,3150 MAIN ST,PALMER,PUBLIC WATER SUPPLY SYSTEM,BONDSVILLE FIRE AND WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1227002,True
5899,PO BOX 182,PALMER,PUBLIC WATER SUPPLY SYSTEM,THREE RIVERS FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1227003,True
5900,70 ALLEN STREET,PITTSFIELD,PUBLIC WATER SUPPLY SYSTEM,PITTSFIELD DPU WATER DEPT,WATER SUPPLY/DRINKING WATER,1236000,True
5902,200 MAIN ST,RUSSELL,PUBLIC WATER SUPPLY SYSTEM,RUSSELL WATER DEPT,WATER SUPPLY/DRINKING WATER,1256000,True
5903,7 SANDISFIELD ROAD,SANDISFIELD,PUBLIC WATER SUPPLY SYSTEM,BERKSHIRE REHAB SKILLED CARE CTR,WATER SUPPLY/DRINKING WATER,1260001,True
5904,PIKE RD,SHEFFIELD,PUBLIC WATER SUPPLY SYSTEM,AQUARION WATER COMPANY,WATER SUPPLY/DRINKING WATER,1267000,True
5905,245 NORTH UNDERMOUNTAIN RD,SHEFFIELD,PUBLIC WATER SUPPLY SYSTEM,BERKSHIRE SCHOOL,WATER SUPPLY/DRINKING WATER,1267001,True
5906,121 STATE ST,SHELBURNE,PUBLIC WATER SUPPLY SYSTEM,SHELBURNE FALLS FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1268000,True
5907,904 MOHAWK TRL,SHELBURNE,PUBLIC WATER SUPPLY SYSTEM,SHELBURNE SPRINGS,WATER SUPPLY/DRINKING WATER,1268001,True
5908,438 GRANBY RD,SOUTH HADLEY,PUBLIC WATER SUPPLY SYSTEM,SOUTH HADLEY FD #1 (MWRA),WATER SUPPLY/DRINKING WATER,1275000,True
5909,20 WOODBRIDGE ST,SOUTH HADLEY,PUBLIC WATER SUPPLY SYSTEM,SOUTH HADLEY FIRE DISTRICT #2 WATER DEPT,WATER SUPPLY/DRINKING WATER,1275001,True
5910,67 PEQUOT ROAD,SOUTHAMPTON,PUBLIC WATER SUPPLY SYSTEM,SOUTHAMPTON WATER DEPT,WATER SUPPLY/DRINKING WATER,1276000,True
5911,454 COLLEGE HWY,SOUTHWICK,PUBLIC WATER SUPPLY SYSTEM,SOUTHWICK WATER DEPT,WATER SUPPLY/DRINKING WATER,1279000,True
5912,71 COLTON STREET,SPRINGFIELD,PUBLIC WATER SUPPLY SYSTEM,SPRINGFIELD WATER AND SEWER COMMISSION,WATER SUPPLY/DRINKING WATER,1281000,True
5914,1 WEST STOCKBRIDGE RD,STOCKBRIDGE,PUBLIC WATER SUPPLY SYSTEM,STOCKBRIDGE WATER DEPT,WATER SUPPLY/DRINKING WATER,1283003,True
5916,19 HAWTHORNE RD,STOCKBRIDGE,PUBLIC WATER SUPPLY SYSTEM,WHITE PINES CONDOMINIUMS,WATER SUPPLY/DRINKING WATER,1283015,True
5917,12 SCHOOL ST,SUNDERLAND,PUBLIC WATER SUPPLY SYSTEM,SUNDERLAND WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1289000,True
5918,248 AMHERST RD,SUNDERLAND,PUBLIC WATER SUPPLY SYSTEM,CLIFFSIDE APARTMENTS,WATER SUPPLY/DRINKING WATER,1289001,True
5919,370 MONTAGUE RD,SUNDERLAND,PUBLIC WATER SUPPLY SYSTEM,POND RIDGE CONDO ASSN,WATER SUPPLY/DRINKING WATER,1289002,True
5920,199 STAFFORD RD,WALES,PUBLIC WATER SUPPLY SYSTEM,BROOKSIDE VILLAGE,WATER SUPPLY/DRINKING WATER,1306001,True
5921,4 1/2 CHURCH ST,WARE,PUBLIC WATER SUPPLY SYSTEM,WARE WATER DEPT,WATER SUPPLY/DRINKING WATER,1309000,True
5922,51 MONSON TURNPIKE ROAD,WARE,PUBLIC WATER SUPPLY SYSTEM,QUABBIN SUNRISE COOPERATIVE INC,WATER SUPPLY/DRINKING WATER,1309001,True
5925,26 CENTRAL ST,WEST SPRINGFIELD,PUBLIC WATER SUPPLY SYSTEM,WEST SPRINGFIELD DPW WATER DIVISION,WATER SUPPLY/DRINKING WATER,1325000,True
5926,9 MOSCOW RD,WEST STOCKBRIDGE,PUBLIC WATER SUPPLY SYSTEM,WEST STOCKBRIDGE WATER DEPT,WATER SUPPLY/DRINKING WATER,1326000,True
5928,28 SACKETT STREET,WESTFIELD,PUBLIC WATER SUPPLY SYSTEM,WESTFIELD DPWWATER DIVISION,WATER SUPPLY/DRINKING WATER,1329000,True
5929,C O F LOUD 11 SOUTH RD,NORTHAMPTON,PUBLIC WATER SUPPLY SYSTEM,WESTHAMPTON WATER COMPANY,WATER SUPPLY/DRINKING WATER,1331000,True
5931,240 SPRINGFIELD ST,WILBRAHAM,PUBLIC WATER SUPPLY SYSTEM,WILBRAHAM WATER DEPT (MWRA),WATER SUPPLY/DRINKING WATER,1339000,True
5932,141 MAIN ST,WILLIAMSBURG,PUBLIC WATER SUPPLY SYSTEM,WILLIAMSBURG WATER DEPT,WATER SUPPLY/DRINKING WATER,1340000,True
