Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
1480762,BEDFORD,REGULATED ACTIVITY(S),363471,MYKROLIS CORPORATION,Announced Multimedia Inspection,2002-12-03
1480815,BURLINGTON,WATER SUPPLY/DRINKING WATER,6090,BURLINGTON WATER DEPT,OTHER,2002-12-03
1480818,PEABODY,WATER SUPPLY/DRINKING WATER,6152,PEABODY WATER DEPT.,OTHER,2002-12-03
1480819,CAMBRIDGE,WATER SUPPLY/DRINKING WATER,6091,CAMBRIDGE WATER DEPARTMENT,OTHER,2002-12-05
1480838,BOSTON,REGULATED ACTIVITY(S),161678,VICINITY ENERGY BOSTON INC,Unannounced Multimedia Inspection,2002-11-26
1480856,SOUTHBOROUGH,REGULATED ACTIVITY(S),366675,CUSTOM AUTO ENT DBA SOUTHBORO GAS,ReInspection,2002-11-08
1480864,NORTH ADAMS,WATER SUPPLY/DRINKING WATER,5891,NORTH ADAMS WATER DEPT,ON SITE SWTR INSPECTION REQUIREMENTS,2002-09-25
1480891,BOSTON,REGULATED ACTIVITY(S),285469,PHOTO MASTER INC,Unannounced Multimedia Inspection,2002-12-04
1480929,WEYMOUTH,REGULATED ACTIVITY(S),379625,MASS TIRE & AUTO,Unannounced Multimedia Inspection,2002-11-27
1480932,NEW BEDFORD,REGULATED ACTIVITY(S),156877,CP BOURG,Unannounced Multimedia Inspection,2002-05-15
1480943,BOSTON,REGULATED ACTIVITY(S),161725,UNITED STATES GYPSUM COMPANY,Unannounced Multimedia Inspection,2002-12-09
1480976,REHOBOTH,WATER SUPPLY/DRINKING WATER,284323,ANAWAN JUNCTION,SANITARY SURVEY,2002-12-06
1480978,CARVER,WATER SUPPLY/DRINKING WATER,187946,SILO MARKET PLACE,Drive By Inspection,2002-12-09
1480995,BOSTON,REGULATED ACTIVITY(S),378641,BOSTON CENTER FOR ADULT EDUCATION,Unannounced Multimedia Inspection,2002-12-09
1480997,MARLBOROUGH,REGULATED ACTIVITY(S),373019,BUTCHER CO THE,Unannounced Multimedia Inspection,2002-12-09
1481007,WESTBOROUGH,REGULATED ACTIVITY(S),132601,WESTBOROUGH STATE HOSPITAL,Announced Single-Media Inspection,2002-11-19
1481010,BRAINTREE,REGULATED ACTIVITY(S),310837,ANACOMP,Unannounced Multimedia Inspection,2002-12-09
1481070,CANTON,REGULATED ACTIVITY(S),130469,EMERSON & CUMING COMPOSITES MATERIAL INC,Unannounced Multimedia Inspection,2002-11-25
1481098,GEORGETOWN,REGULATED ACTIVITY(S),162795,HOOD COATINGS,Unannounced Multimedia Inspection,2002-12-10
1481212,HOLYOKE,REGULATED ACTIVITY(S),206399,HOLYOKE COMPOST FACILITY,Site Visit But Not Full Inspection,2002-12-05
1481222,WESTON,REGULATED ACTIVITY(S),284071,MAPLEWOOD AT WESTON,BWR/BRP Announced Inspection Related Activity,2002-10-16
1481224,WAYLAND,REGULATED ACTIVITY(S),164813,WAYLAND WMDC,BWR/BRP Unannounced Inspection Related Activity,2002-12-10
1481227,MELROSE,REGULATED ACTIVITY(S),321110,WASTE MANAGEMENT OF MASSACHUSETTS INC,ReInspection,2002-11-18
1481300,SALISBURY,REGULATED ACTIVITY(S),372957,SALISBURY SQUARE SERVICE INC,ReInspection,2002-09-26
1481305,DEDHAM,REGULATED ACTIVITY(S),343459,AMERICAN RED CROSS NATIONAL TESTING LAB,ReInspection,2002-10-17
1481371,WELLFLEET,WATER SUPPLY/DRINKING WATER,6281,PLEASANT WATER,SANITARY SURVEY,2002-12-10
1481386,DIGHTON,REGULATED ACTIVITY(S),130643,PRYSMIAN GROUP SPECIALTY CABLES LLC,Unannounced Multimedia Inspection,2002-12-10
1481409,AGAWAM,REGULATED ACTIVITY(S),160790,F&G AGAWAM RECYCLING LLC,Announced Single-Media Inspection,2002-12-05
1481606,WORCESTER,REGULATED ACTIVITY(S),130518,ANDERSON PRODUCTS,ReInspection,2002-11-07
1481687,FALL RIVER,REGULATED ACTIVITY(S),305951,ECC CARD CLOTHING INC,Unannounced Multimedia Inspection,2002-12-06
1481688,FALL RIVER,REGULATED ACTIVITY(S),371511,NERONHA FINISHING,Unannounced Multimedia Inspection,2002-12-06
1481691,FALL RIVER,REGULATED ACTIVITY(S),376507,AFGD,Unannounced Multimedia Inspection,2002-12-05
1481692,FALL RIVER,REGULATED ACTIVITY(S),363744,NATURAL PHARMACEUTICAL INC,Unannounced Multimedia Inspection,2002-12-05
1481700,NANTUCKET,REGULATED ACTIVITY(S),372751,MIKE LAMB INC,Unannounced Single-Media Inspection,2001-08-28
1481704,NANTUCKET,REGULATED ACTIVITY(S),372751,MIKE LAMB INC,Unannounced Single-Media Inspection,2002-02-20
1481727,NANTUCKET,REGULATED ACTIVITY(S),364863,P & M REIS TRUCKING INC,Unannounced Single-Media Inspection,2001-08-28
1481930,OXFORD,REGULATED ACTIVITY(S),132533,TECHNOLOGY LEARNING CENTER,Unannounced Single-Media Inspection,2002-11-25
1482055,SPENCER,REGULATED ACTIVITY(S),254791,SPENCER HIGHWAY GARAGE,Announced Multimedia Inspection,2002-12-04
1482058,SPENCER,REGULATED ACTIVITY(S),172954,SPENCER TRANSFER STATION,Announced Single-Media Inspection,2002-12-04
1482064,SALISBURY,REGULATED ACTIVITY(S),132805,SALISBURY WASTE WATER TREATMENT PLANT,BWR/BRP Announced Inspection Related Activity,2002-12-06
1482081,BELLINGHAM,REGULATED ACTIVITY(S),204624,NORTHEAST ENERGY ASSOCIATES,Compliance Evaluation-Review of Compliance Data & Reports,2002-09-05
1482111,NEW BEDFORD,REGULATED ACTIVITY(S),130041,POLAROID CORPORATION,Announced Single-Media Inspection,2002-09-24
1482113,PLYMOUTH,REGULATED ACTIVITY(S),132500,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Announced Single-Media Inspection,2002-09-27
1482115,NANTUCKET,REGULATED ACTIVITY(S),172754,NANTUCKET SOLID WASTE MGT FACILITY,Announced Single-Media Inspection,2002-06-27
1482147,SALISBURY,REGULATED ACTIVITY(S),132805,SALISBURY WASTE WATER TREATMENT PLANT,BWR/BRP Unannounced Inspection Related Activity,2002-07-31
1482167,DIGHTON,REGULATED ACTIVITY(S),282066,DIGHTON POWER LLC,Announced Single-Media Inspection,2002-09-30
1482175,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-12-03
1482177,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-12-04
1482180,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-12-11
1482182,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-12-14
1482184,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-11-14
1482186,SOMERSET,REGULATED ACTIVITY(S),313273,USGEN NEW ENGLAND INC BRAYTON POINT,Announced Single-Media Inspection,2001-11-15
1482190,EASTHAM,WATER SUPPLY/DRINKING WATER,187979,CAPEABILITIES,Site Visit But Not Full Inspection,1999-09-01
1482193,DARTMOUTH,WATER SUPPLY/DRINKING WATER,6211,DARTMOUTH WATER DIVISION,Site Visit But Not Full Inspection,1999-12-01
1482194,CARVER,WATER SUPPLY/DRINKING WATER,6596,CARVER ELEMENTARY SCHOOL,Site Visit But Not Full Inspection,2000-01-01
1482195,OAK BLUFFS,WATER SUPPLY/DRINKING WATER,6257,OAK BLUFFS WATER DISTRICT,Site Visit But Not Full Inspection,2000-01-01
1482196,TRURO,WATER SUPPLY/DRINKING WATER,6768,"ADVENTURE BOUND CAMPING, CAPE COD",Site Visit But Not Full Inspection,2000-01-01
1482198,WRENTHAM,WATER SUPPLY/DRINKING WATER,6286,WRENTHAM WATER DIVISION,Site Visit But Not Full Inspection,2000-01-01
1482199,CHILMARK,WATER SUPPLY/DRINKING WATER,6612,MENEMSHA INN,Site Visit But Not Full Inspection,2000-01-01
1482200,MASHPEE,WATER SUPPLY/DRINKING WATER,7270,MASHPEE WATER DISTRICT,Site Visit But Not Full Inspection,2000-01-01
1482206,BARNSTABLE,WATER SUPPLY/DRINKING WATER,6197,"HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE",Site Visit But Not Full Inspection,2000-01-01
1482212,SOMERSET,REGULATED ACTIVITY(S),319108,FORMER SOMERSET POWER LLC,Announced Single-Media Inspection,2002-07-23
